University,Univ Rank,Locations,URLs,Top Majors,Sector,Founding,Religion,Calendar,Setting,Endorsement,Engieering,BioMed,Computer,DoubleE,BusRank,BusAcct,BusEnt,BusFin,BusMgmt,BusMarketing,BusOps,BusQuant,BusRE,BusSupply,LiberalArts,EricXu,EmilyXu
Vanderbilt University,14,"Nashville, TN",http://colleges.usnews.rankingsandreviews.com/best-colleges/vanderbilt-3535,"['Economics, General', 'Multi-/Interdisciplinary Studies, Other', 'Social Sciences, General', 'Mathematics, General', 'Political Science and Government, General']","Private, Coed",1873,N/A,Semester,Urban,$3.8 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Notre Dame,18,"Notre Dame, IN",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-notre-dame-1840,"['Finance, General', 'Accounting', 'Economics, General', 'Political Science and Government, General', 'Psychology, General']","Private, Coed",1842,Roman Catholic,Semester,City,$8.7 billion +,888,888,888,888,888,6,888,888,11,12,888,888,888,888,888,N,N
Washington University in St. Louis,18,"St. Louis, MO",http://colleges.usnews.rankingsandreviews.com/best-colleges/washington-university-in-st-louis-2520,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Biological and Biomedical Sciences', 'Psychology']","Private, Coed",1853,N/A,Semester,Suburban,$6.5 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Georgetown University,20,"Washington, DC",http://colleges.usnews.rankingsandreviews.com/best-colleges/georgetown-university-1445,"['Social Sciences', 'Business, Management, Marketing, and Related Support Services', 'Health Professions and Related Programs', 'Multi/Interdisciplinary Studies', 'Biological and Biomedical Sciences']","Private, Coed",1789,Roman Catholic,Semester,Urban,$1.5 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,Y,Y
Emory University,21,"Atlanta, GA",http://colleges.usnews.rankingsandreviews.com/best-colleges/emory-university-1564,"['Business Administration and Management, General', 'Biology/Biological Sciences, General', 'Economics, General', 'Registered Nursing/Registered Nurse', 'Neuroscience']","Private, Coed",1836,United Methodist,Semester,City,$6.9 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,Y
University of California--Berkeley,21,"Berkeley, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-california-berkeley-1312,"['Social Sciences', 'Engineering', 'Biological and Biomedical Sciences', 'Multi/Interdisciplinary Studies', 'Mathematics and Statistics']","Public, Coed",1868,N/A,Semester,City,$4.1 billion +,3,7,2,3,3,888,3,6,3,5,6,4,2,888,888,N,N
University of California--Los Angeles,21,"Los Angeles, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-california-los-angeles-1315,"['Social Sciences', 'Psychology', 'Social Sciences', 'Biological and Biomedical Sciences']","Public, Coed",1919,N/A,Quarter,Urban,$3.9 billion +,888,888,888,12,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Southern California,21,"Los Angeles, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-southern-california-1328,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Visual and Performing Arts', 'Engineering', 'Communication, Journalism, and Related Programs']","Private, Coed",1880,N/A,Semester,Urban,$4.6 billion +,888,888,888,888,888,7,6,888,10,11,888,888,7,888,888,N,N
Carnegie Mellon University,25,"Pittsburgh, PA",http://colleges.usnews.rankingsandreviews.com/best-colleges/carnegie-mellon-university-3242,"['Information Technology', 'Electrical and Electronics Engineering', 'Business Administration and Management, General', 'Computer Science', 'Mechanical Engineering']","Private, Coed",1900,N/A,Semester,Urban,$1.3 billion,8,888,4,10,7,888,888,10,888,888,3,2,888,8,888,Y,N
University of Virginia,25,"Charlottesville, VA",http://colleges.usnews.rankingsandreviews.com/best-colleges/uva-6968,"['Economics, General', 'Business/Commerce, General', 'Biology/Biological Sciences, General', 'International Relations and Affairs', 'Psychology, General']","Public, Coed",1819,N/A,Semester,Suburban,$5.8 billion,888,888,888,888,7,888,888,9,5,8,888,888,888,888,888,Y,N
Wake Forest University,27,"Winston-Salem, NC",http://colleges.usnews.rankingsandreviews.com/best-colleges/wake-forest-2978,"['Social Sciences', 'Business, Management, Marketing, and Related Support Services', 'Communication, Journalism, and Related Programs', 'Biological and Biomedical Sciences', 'Psychology']","Private, Coed",1834,N/A,Semester,Suburban,$1.1 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Michigan--Ann Arbor,28,"Ann Arbor, MI",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-michigan-ann-arbor-9092,"['Business Administration and Management, General', 'Experimental Psychology', 'Economics, General', 'Physiological Psychology/Psychobiology', 'Computer and Information Sciences, General']","Public, Coed",1817,N/A,Trimester,City,$9.6 billion +,6,9,7,5,3,5,11,4,1,2,4,6,888,7,888,N,N
Tufts University,29,"Medford, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/tufts-university-2219,"['Social Sciences', 'Engineering', 'Biological and Biomedical Sciences', 'Multi/Interdisciplinary Studies', 'Computer and Information Sciences and Support Services']","Private, Coed",1852,N/A,Semester,Suburban,$1.6 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,Y
New York University,30,"New York, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/nyu-2785,"['Visual and Performing Arts', 'Social Sciences', 'Business, Management, Marketing, and Related Support Services', 'Liberal Arts and Sciences, General Studies and Humanities', 'Health Professions and Related Programs']","Private, Coed",1831,N/A,Semester,Urban,$3.6 billion,888,888,888,888,5,9,888,2,6,3,888,5,4,888,888,Y,Y
University of North Carolina--Chapel Hill,30,"Chapel Hill, NC",http://colleges.usnews.rankingsandreviews.com/best-colleges/unc-2974,"['Communication and Media Studies', 'Biology, General', 'Psychology, General', 'Economics', 'Political Science and Government']","Public, Coed",1789,N/A,Semester,Suburban,$2.9 billion,888,888,888,888,7,888,8,7,4,7,6,888,12,888,888,Y,N
Boston College,32,"Chestnut Hill, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/boston-college-2128,"['Economics, General', 'Finance, General', 'Biology/Biological Sciences, General', 'Psychology, General', 'Speech Communication and Rhetoric']","Private, Coed",1863,Roman Catholic,Semester,Suburban,$2.1 billion +,888,888,888,888,888,888,888,11,888,888,888,888,888,888,888,Y,Y
College of William and Mary,32,"Williamsburg, VA",http://colleges.usnews.rankingsandreviews.com/best-colleges/william-and-mary-3705,"['Social Sciences', 'Business, Management, Marketing, and Related Support Services', 'Biological and Biomedical Sciences', 'Psychology', 'Multi/Interdisciplinary Studies']","Public, Coed",1693,N/A,Semester,Suburban,$803.7 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Brandeis University,34,"Waltham, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/brandeis-university-2133,"['Business/Commerce, General', 'Economics, General', 'Biology/Biological Sciences, General', 'Psychology, General', 'Health Policy Analysis']","Private, Coed",1948,N/A,Semester,Suburban,$866.8 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Georgia Institute of Technology,34,"Atlanta, GA",http://colleges.usnews.rankingsandreviews.com/best-colleges/georgia-institute-of-technology-1569,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Computer and Information Sciences and Support Services', 'Biological and Biomedical Sciences', 'Physical Sciences']","Public, Coed",1885,N/A,Semester,Urban,$1.8 billion +,4,1,6,4,888,888,888,888,888,888,11,6,888,888,888,Y,N
University of Rochester,34,"Rochester, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-rochester-2894,"['Social Sciences', 'Engineering', 'Health Professions and Related Programs', 'Biological and Biomedical Sciences', 'Psychology']","Private, Coed",1850,N/A,Semester,Suburban,$1.9 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Boston University,37,"Boston, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/boston-university-2130,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Communication, Journalism, and Related Programs', 'Health Professions and Related Programs', 'Engineering']","Private, Coed",1839,N/A,Semester,Urban,$1.7 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,Y
Case Western Reserve University,37,"Cleveland, OH",http://colleges.usnews.rankingsandreviews.com/best-colleges/case-western-reserve-university-3024,"['Bioengineering and Biomedical Engineering', 'Biology/Biological Sciences, General', 'Mechanical Engineering', 'Psychology, General', 'Registered Nursing/Registered Nurse']","Private, Coed",1826,N/A,Semester,Urban,$1.7 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of California--Santa Barbara,37,"Santa Barbara, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-california-santa-barbara-1320,"['Social Sciences', 'Biological and Biomedical Sciences', 'Psychology', 'Communication, Journalism, and Related Programs', 'Visual and Performing Arts']","Public, Coed",1909,N/A,Quarter,Suburban,$429.2 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Northeastern University,40,"Boston, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/northeastern-university-2199,"['Business, Management, Marketing, and Related Support Services', 'Engineering', 'Health Professions and Related Programs', 'Social Sciences', 'Biological and Biomedical Sciences']","Private, Coed",1898,N/A,Semester,Urban,$702.0 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,Y,Y
Tulane University,40,"New Orleans, LA",http://colleges.usnews.rankingsandreviews.com/best-colleges/tulane-university-2029,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Biological and Biomedical Sciences', 'Health Professions and Related Programs', 'Communication, Journalism, and Related Programs']","Private, Coed",1834,N/A,Semester,Urban,$1.2 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Rensselaer Polytechnic Institute,42,"Troy, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/rpi-2803,"['Engineering', 'Computer and Information Sciences and Support Services', 'Business, Management, Marketing, and Related Support Services', 'Architecture and Related Services', 'Biological and Biomedical Sciences']","Private, Coed",1824,N/A,Semester,Suburban,$632.0 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of California--Irvine,42,"Irvine, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-california-irvine-1314,"['Biology/Biological Sciences, General', 'Social Psychology', 'Public Health, Other', 'Business/Managerial Economics', 'Criminology']","Public, Coed",1965,N/A,Quarter,Suburban,$625.9 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of California--San Diego,42,"La Jolla, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-california-san-diego-1317,"['Biology, General', 'Economics', 'Computer Engineering', 'Psychology, General', 'Communication and Media Studies']","Public, Coed",1960,N/A,Quarter,Urban,$1.3 billion +,888,6,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
