University,Univ Rank,Locations,URLs,Top Majors,Sector,Founding,Religion,Calendar,Setting,Endorsement,Engieering,BioMed,Computer,DoubleE,BusRank,BusAcct,BusEnt,BusFin,BusMgmt,BusMarketing,BusOps,BusQuant,BusRE,BusSupply,LiberalArts,EricXu,EmilyXu
Texas A&M University--College Station,69,"College Station, TX",http://colleges.usnews.rankingsandreviews.com/best-colleges/texas-am-university-college-station-10366,"['Business, Management, Marketing, and Related Support Services', 'Engineering', 'Agriculture, Agriculture Operations, and Related Sciences', 'Multi/Interdisciplinary Studies', 'Biological and Biomedical Sciences']","Public, Coed",1876,N/A,Semester,City,$9.9 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Minnesota--Twin Cities,69,"Minneapolis, MN",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-minnesota-twin-cities-3969,"['Social Sciences', 'Biological and Biomedical Sciences', 'Engineering', 'Business, Management, Marketing, and Related Support Services', 'Psychology']","Public, Coed",1851,N/A,Semester,Urban,$3.1 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Virginia Tech,69,"Blacksburg, VA",http://colleges.usnews.rankingsandreviews.com/best-colleges/virginia-tech-3754,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Family and Consumer Sciences/Human Sciences', 'Social Sciences', 'Biological and Biomedical Sciences']","Public, Coed",1872,N/A,Semester,Rural,$835.8 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Baylor University,75,"Waco, TX",http://colleges.usnews.rankingsandreviews.com/best-colleges/baylor-university-6967,"['Biology/Biological Sciences, General', 'Registered Nursing/Registered Nurse', 'Accounting', 'Marketing/Marketing Management, General', 'Psychology, General']","Private, Coed",1845,N/A,Semester,City,$1.2 billion,888,888,888,888,888,888,12,888,888,888,888,888,888,888,888,N,N
Colorado School of Mines,75,"Golden, CO",http://colleges.usnews.rankingsandreviews.com/best-colleges/colorado-school-of-mines-1348,"['Engineering', 'Computer and Information Sciences and Support Services', 'Mathematics and Statistics', 'Physical Sciences', 'Social Sciences']","Public, Coed",1874,N/A,Semester,Suburban,$212.3 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Massachusetts--Amherst,75,"Amherst, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/umass-amherst-2221,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Biological and Biomedical Sciences', 'Health Professions and Related Programs', 'Psychology']","Public, Coed",1863,N/A,Semester,Suburban,$287.2 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Miami University--Oxford,78,"Oxford, OH",http://colleges.usnews.rankingsandreviews.com/best-colleges/miami-university-7104,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Communication, Journalism, and Related Programs', 'Education', 'Parks, Recreation, Leisure, and Fitness Studies']","Public, Coed",1809,N/A,Semester,Rural,$445.8 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Texas Christian University,78,"Fort Worth, TX",http://colleges.usnews.rankingsandreviews.com/best-colleges/tcu-3636,"['Business, Management, Marketing, and Related Support Services', 'Communication, Journalism, and Related Programs', 'Health Professions and Related Programs', 'Social Sciences', 'Visual and Performing Arts']","Private, Coed",1873,Christian Church (Disciples of Christ),Semester,Suburban,$1.4 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Iowa,78,"Iowa City, IA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-iowa-1892,"['Business, Management, Marketing, and Related Support Services', 'Parks, Recreation, Leisure, and Fitness Studies', 'Social Sciences', 'Communication, Journalism, and Related Programs', 'Engineering']","Public, Coed",1847,N/A,Semester,City,$1.3 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Clark University,81,"Worcester, MA",http://colleges.usnews.rankingsandreviews.com/best-colleges/clark-university-massachusetts-2139,"['Psychology', 'Business Administration, Management and Operations', 'Economics', 'Political Science and Government', 'Biology, General']","Private, Coed",1887,N/A,Semester,City,$369.1 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Florida State University,81,"Tallahassee, FL",http://colleges.usnews.rankingsandreviews.com/best-colleges/florida-state-university-1489,"['Psychology, General', 'Criminal Justice/Safety Studies', 'Finance, General', 'English Language and Literature, General', 'Biology/Biological Sciences, General']","Public, Coed",1851,N/A,Semester,City,$584.5 million +,888,888,888,888,888,888,888,888,888,888,888,888,11,888,888,N,N
Michigan State University,81,"East Lansing, MI",http://colleges.usnews.rankingsandreviews.com/best-colleges/michigan-state-2290,"['Business, Management, Marketing, and Related Support Services', 'Communication, Journalism, and Related Programs', 'Social Sciences', 'Biological and Biomedical Sciences', 'Engineering']","Public, Coed",1855,N/A,Semester,Suburban,$2.6 billion,888,888,888,888,888,888,888,888,888,888,8,888,888,1,888,N,N
North Carolina State University--Raleigh,81,"Raleigh, NC",http://colleges.usnews.rankingsandreviews.com/best-colleges/north-carolina-state-raleigh-2972,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Biological and Biomedical Sciences', 'Agriculture, Agriculture Operations, and Related Sciences', 'Social Sciences']","Public, Coed",1887,N/A,Semester,City,$998.6 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of California--Santa Cruz,81,"Santa Cruz, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-california-santa-cruz-1321,"['Psychology, General', 'Business/Managerial Economics', 'Cell/Cellular and Molecular Biology', 'Sociology', 'Environmental Studies']","Public, Coed",1965,N/A,Quarter,Suburban,$244.4 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Delaware,81,"Newark, DE",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-delaware-1431,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Health Professions and Related Programs', 'Engineering', 'Biological and Biomedical Sciences']","Public, Coed",1743,N/A,4/1/2004,Suburban,$1.3 billion,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Binghamton University--SUNY,87,"Binghamton, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/suny-binghamton-2836,"['Business Administration and Management, General', 'Biology/Biological Sciences, General', 'Engineering, General', 'Psychology, General', 'English Language and Literature, General']","Public, Coed",1946,N/A,Semester,Suburban,$93.4 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Denver,87,"Denver, CO",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-denver-1371,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Communication, Journalism, and Related Programs', 'Psychology', 'Biological and Biomedical Sciences']","Private, Coed",1864,N/A,Quarter,City,$607.4 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Tulsa,87,"Tulsa, OK",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-tulsa-3185,"['Engineering', 'Business, Management, Marketing, and Related Support Services', 'Biological and Biomedical Sciences', 'Health Professions and Related Programs', 'Psychology']","Private, Coed",1894,Presbyterian Church (USA),Semester,City,$975.6 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Indiana University--Bloomington,90,"Bloomington, IN",http://colleges.usnews.rankingsandreviews.com/best-colleges/indiana-university-bloomington-1809,"['Business, Management, Marketing, and Related Support Services', 'Communication, Journalism, and Related Programs', 'Biological and Biomedical Sciences', 'Parks, Recreation, Leisure, and Fitness Studies', 'Social Sciences']","Public, Coed",1820,N/A,Semester,City,$991.1 million +,888,888,888,888,888,8,3,8,9,6,888,888,888,888,888,N,N
Marquette University,90,"Milwaukee, WI",http://colleges.usnews.rankingsandreviews.com/best-colleges/marquette-university-3863,"['Business, Management, Marketing, and Related Support Services', 'Biological and Biomedical Sciences', 'Communication, Journalism, and Related Programs', 'Engineering', 'Social Sciences']","Private, Coed",1881,Roman Catholic,Semester,Urban,$550.1 million,888,888,888,888,888,888,888,888,888,888,888,888,9,888,888,N,N
University of Colorado--Boulder,90,"Boulder, CO",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-colorado-boulder-1370,"['Biological and Biomedical Sciences', 'Social Sciences', 'Business, Management, Marketing, and Related Support Services', 'Engineering', 'Communication, Journalism, and Related Programs']","Public, Coed",1876,N/A,Semester,City,$514.2 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of San Diego,90,"San Diego, CA",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-san-diego-10395,"['Business, Management, Marketing, and Related Support Services', 'Biological and Biomedical Sciences', 'Social Sciences', 'Communication, Journalism, and Related Programs', 'Engineering']","Private, Coed",1949,N/A,4/1/2004,Urban,$449.8 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Drexel University,94,"Philadelphia, PA",http://colleges.usnews.rankingsandreviews.com/best-colleges/drexel-university-3256,"['Health Professions and Related Programs', 'Engineering', 'Business, Management, Marketing, and Related Support Services', 'Visual and Performing Arts', 'Biological and Biomedical Sciences']","Private, Coed",1891,N/A,Quarter,Urban,$650.3 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Yeshiva University,94,"New York, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/yeshiva-university-2903,"['Business Administration and Management, General', 'Biology/Biological Sciences, General', 'Psychology, General', 'Accounting', 'Jewish/Judaic Studies']","Private, Coed",1886,N/A,Semester,Urban,$478.2 million +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Rochester Institute of Technology,97,"Rochester, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/rit-2806,"['Engineering', 'Computer and Information Sciences and Support Services', 'Visual and Performing Arts', 'Engineering Technologies and Engineering-Related Fields', 'Business, Management, Marketing, and Related Support Services']","Private, Coed",1829,N/A,Semester,Suburban,$750.9 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
Stony Brook University--SUNY,97,"Stony Brook, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/stony-brook-suny-2838,"['Health Professions and Related Programs', 'Biology/Biological Sciences, General', 'Business Administration and Management, General', 'Psychology, General', 'Applied Mathematics, General']","Public, Coed",1957,N/A,Semester,Suburban,$219.7 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
SUNY College of Environmental Science and Forestry,97,"Syracuse, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/suny-environmental-science-and-forestry-2851,"['Environmental Biology', 'Natural Resources and Conservation, Other', 'Engineering, General', 'Landscape Architecture', 'Chemistry, General']","Public, Coed",1911,N/A,Semester,City,$27.6 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University at Buffalo--SUNY,97,"Buffalo, NY",http://colleges.usnews.rankingsandreviews.com/best-colleges/ub-9554,"['Business, Management, Marketing, and Related Support Services', 'Social Sciences', 'Engineering', 'Psychology', 'Biological and Biomedical Sciences']","Public, Coed",1846,N/A,Semester,Suburban,$601.0 million,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
University of Oklahoma,97,"Norman, OK",http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-oklahoma-3184,"['Business, Management, Marketing, and Related Support Services', 'Engineering', 'Health Professions and Related Programs', 'Communication, Journalism, and Related Programs', 'Liberal Arts and Sciences, General Studies and Humanities']","Public, Coed",1890,N/A,Semester,City,$1.0 billion +,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,N,N
